,type,season,review,price,brand,link
스피드캣 OG - 블랙 / 398846-01,shoes,spring_summer_autumn_winter,"스피드캣 OG - 블랙은 클래식한 디자인과 탁월한 편안함을 자랑하는 운동화입니다. 발을 안정적으로 지지해주며, 스타일리시하면서도 어떤 의상에도 잘 어울립니다. 이 신발은 일상적인 외출뿐만 아니라 간단한 운동에도 적합해 활용도가 높습니다.  ","139,000원",푸마,https://www.musinsa.com/products/4201442
810s 마르케 모디 White,shoes,spring_summer_autumn_winter,"810s 마르케 모디 화이트는 깔끔하고 미니멀한 디자인이 특징으로, 다양한 스타일에 잘 어울립니다. 발에 편안하게 맞는 쿠셔닝과 경량 소재로 장시간 착용해도 불편함이 없습니다.  ","112,000원",문스타,https://www.musinsa.com/products/3813326
에어 포스 1 07 M - 블랙 / CW2288-001,shoes,spring_summer_autumn_winter,"에어 포스 1 07 M - 블랙은 심플하면서도 세련된 디자인으로 어느 스타일에도 잘 어울립니다. 뛰어난 쿠셔닝과 안정감을 제공해 하루 종일 착용해도 편안하며, 다양한 활동에 활용할 수 있습니다.  ","139,000원",나이키,https://www.musinsa.com/products/3976349
조그 100 2  - 블랙:블랙 / TJG138-9090,shoes,spring_summer_autumn_winter,"조그 100 2 - 블랙:블랙은 튼튼하고 실용적인 디자인으로 일상적인 착용에 적합합니다. 발목을 잘 감싸주는 디자인과 내구성 좋은 소재가 특징이며, 세련된 블랙 컬러로 다양한 의상과 매칭됩니다.  ","79,000원",아식스,https://www.musinsa.com/products/969541
XT-6 - 블랙:블랙:팬텀 / L41086600,shoes,spring_summer_autumn_winter,"XT-6 - 블랙:블랙:팬텀은 운동성과 스타일을 동시에 갖춘 제품으로, 트레일 러닝이나 일상적인 외출에 모두 적합합니다. 뛰어난 그립력과 편안한 착용감 덕분에 다양한 환경에서 활용할 수 있습니다.  ","260,000원",살로몬,https://www.musinsa.com/products/1762406
재스퍼 스니커즈 Beige,shoes,spring_summer_autumn_winter,"재스퍼 스니커즈 베이지는 캐주얼하면서도 세련된 디자인이 특징입니다. 발에 딱 맞는 사이즈와 편안한 착용감이 뛰어나 일상에서 자주 신을 수 있으며, 다양한 스타일에 잘 어울립니다.  ","169,000원",킨,https://www.musinsa.com/products/3046006
핸드볼 스페지알 - 원더베이지:블랙 / IE3698,shoes,spring_summer_autumn_winter,핸드볼 스페지알 - 원더베이지:블랙은 고급스러운 컬러 조합과 클래식한 디자인으로 어떤 의상에도 잘 어울립니다. 쿠셔닝이 뛰어나 운동 시에도 편안하게 착용할 수 있습니다.  ,"139,000원",아디다스,https://www.musinsa.com/products/4507335
에샤페 실버문,shoes,spring_summer_autumn_winter,"에샤페 실버문은 고급스러우면서도 기능적인 디자인이 돋보입니다. 스타일리시한 실버 컬러로, 어떤 옷과도 잘 매칭되며 편안한 착용감을 제공합니다.  ","99,000원",휠라,https://www.musinsa.com/products/3892794
NBPDEF705W / MR530AD,shoes,spring_summer_autumn_winter,"엠비피디이이엡에프703더블유 / 엠알530에이디는 내구성이 뛰어나고 편안한 착용감을 제공하는 신발로, 다양한 스타일에 잘 어울립니다. 특히 다양한 활동에서 활용도가 높으며, 뛰어난 쿠셔닝을 자랑합니다.  ","119,000원",뉴발란스,https://www.musinsa.com/products/3004042
뉴포트 H2 샌들 Triple Black,shoes,spring_summer_autumn_winter,"뉴포트 H2 샌들 트리플 블랙은 여름철에 착용하기 좋으며, 통기성이 좋은 소재로 발을 시원하게 유지해줍니다. 실용적인 디자인과 편안한 착용감 덕분에 여름 여행이나 외출 시 매우 유용합니다.  ","159,000원",킨,https://www.musinsa.com/products/2378989
V2K 런 M - 서밋 화이트:퓨어 플래티넘:라이트 아이언 오어:메탈릭 실버 / HJ4497-100,shoes,spring_summer_autumn_winter,"V2K 런 M - 서밋 화이트:퓨어 플래티넘:라이트 아이언 오어:메탈릭 실버는 경량 디자인과 우수한 쿠셔닝이 특징으로, 운동 시에도 편안하고, 일상적인 외출에도 어울립니다.  ","139,000원",나이키,https://www.musinsa.com/products/4075076
